Hi-Vol,,LSC    (bgd 1.246 cpm),,,,Efficency,,N0 / SCM Flow,,,[2]Bulk,,SO4 Anions,,  SO4 Rev
Sample ID,Range Collected,CPM,CPM - bgd,DPM,σ ,N,Δt (days),N0,atoms/m3,Error Propogation,atoms/m3,,μS/mL,μmol/m3,Bulk μS
PH56b S35 1/2,2/10-2/13/2020,5.031,3.785,5.40643,0.238,982778.29,5,1022485.8,224,7.46E-05,448,,,,1.2310
PH58b S35 1/2,2/13-2/17/2020,10.129,8.883,12.68929,0.514,2306652.97,5,2399849.3,350,1.07E-04,701,,,,5.8364
PH58b S35 1/2,2/13-2/17/2020,6.577,5.331,7.615,0.311,1384251.46,40,1900328.6,277,6.49E-05,555,,,,5.8364
PH60b S35 1/2,2/17-2/20/2020,6.688,5.442,7.77357,0.26,1413076.51,5,1470169.4,324,8.20E-05,649,,,,5.1681
PH62b S35 1/2,2/20-2/24/2020,7.674,6.428,9.18214,0.465,1669126.03,5,1736564.2,277,1.06E-04,554,,,,6.0787
PH64b S35 1/2,2/24-2/27/2020,6.96,5.714,8.16214,0.387,1483710.86,4,1531477.6,308,1.11E-04,617,,,,2.8510
PH66b S35 1/2,2/27-3/2/2020,5.847,4.601,6.57214,0.347,1194681.34,12,1313821,253,9.56E-05,507,,3.327,,16.4518
PH68b S35 1/2,3/2-3/5/2020,4.674,3.428,4.89643,0.299,890070.71,9,955845.3,184,8.24E-05,369,,3.755,,16.4518
PH70b S35 1/2,3/5-3/9/2020,2.725,1.479,2.11214,0.319,383944.43,9,412317.2,72,8.00E-05,145,,1.716,,16.4518
PH72b S35 1/2,3/9-3/12/2020,2.859,1.613,2.30357,0.298,418742.24,6,439125.7,86,8.36E-05,173,,1.401,,16.4518
PH74b S35 1/2,3/12-3/16/2020,5.256,4.01,5.72786,0.428,1041207.44,6,1091891.1,175,9.79E-05,350,,1.821,,16.4518
PH76b S35 1/2,3/16-3/19/2020,5.949,4.703,6.71786,0.429,1221169.22,15,1375247.9,284,1.27E-04,569,,2.123,,16.4518
UH78b S35 1/2,3/19-3/23/2020,3.268,2.022,2.88786,0.639,524953.44,23,629866.7,102,1.47E-04,203,,0.859,,16.4518
UH80b S35 1/2,3/23-3/28/2020,5.811,4.565,6.52071,0.39,1185332.67,20,1388823.7,175,7.03E-05,350,,3.402,,16.4518
UH82b S35 1/2,3/28-3/30/2020,5.577,4.331,6.18643,0.295,1124566.36,6,1179307.7,363,1.30E-04,725,,2.776,,16.4518
UH84b S35 1/2,3/30-4/2/2020,4.553,3.307,4.72357,0.339,858648.81,14,959357.3,193,9.75E-05,386,,4.087,,16.4518
UH86b S35 1/2,4/2-4/11/2020,8.434,7.188,10.26786,0.323,1866486.71,12,2052622.2,143,3.21E-05,286,,4.91,,16.4518
UH88b S35 1/2,4/11-4/13/2020,2.416,1.17,1.67071,0.324,303701.73,4,313479.1,100,1.47E-04,199,,,,16.4518
UH90b S35 1/2,4/13-4/16/2020,4.002,2.756,3.93643,0.144,715562.31,11,780712.7,159,4.20E-05,319,,,,16.4518
UH92b S35 1/2,4/16-4/20/2020,5.319,4.073,5.81786,0.324,1057567.6,7,1117868,174,7.22E-05,349,,,,16.4518
UH92b S35 1/2,4/16-4/20/2020,4.128,2.882,4.11643,0.236,748282.64,32,964176.7,150,5.26E-05,301,,,,16.4518
UH94b S35 1/2,4/20-4/23/2020,3.756,2.51,3.585,0.2,651679.78,72,1152760.1,232,5.75E-05,464,,,,16.4518
UH96b S35 1/2,4/23-4/27/2020,3.715,2.469,3.52643,0.221,641032.69,68,1098559.3,175,5.03E-05,350,,,,16.4518
UH98b S35 1/2,4/27-5/4/2020,4.168,2.922,4.17357,0.254,758670.04,81,1441188.2,122,3.07E-05,244,,,,16.4518
UH100b S35 1/2,5/4-5/17/2020,9.572,8.326,11.89357,0.283,2162008.36,80,4074598.2,181,1.79E-05,362,,,,16.4518
UH102b S35 1/2,5/18-5/27/2020,5.623,4.377,6.25214,0.415,1136511.87,61,1842616.2,127,4.07E-05,253,,,,16.4518
UH103b S35 1/2,5/27-6/2/2020,4.167,2.921,4.17214,0.296,758410.36,65,1269189.7,56,1.88E-05,113,,,,16.4518
UH104b S35 1/2,6/2-6/17/2020,17.218,15.972,22.81643,0.324,4147560.69,32,5344212.5,226,1.95E-05,451,,,,16.4518
UH104b S35 1/2,6/2-6/17/2020,17.259,16.013,22.875,0.521,4158207.78,33,5400543.9,228,3.14E-05,456,,,,16.4518
UH105b S35 1/2,6/17-6/28/2020,9.588,8.342,11.91643,0.37,2166163.32,15,2439474.8,130,2.82E-05,261,,,,16.4518
UH106b S35 1/2,6/28-7/2/2020,5.483,4.237,6.05214,0.281,1100155.96,10,1190851.7,189,6.36E-05,377,,,,16.4518
UH107b S35 1/2,7/2-7/6/2020,5.824,4.578,6.53929,0.288,1188708.58,7,1256486.4,204,6.68E-05,408,,,,16.4518
UH108b S35 1/2,7/6-7/10/2020,6.922,5.676,8.10786,0.286,1473842.83,10,1595344.9,230,5.90E-05,460,,,,16.4518
UH109b S35 1/2,7/10-7/13/2020,4.097,2.851,4.07214,0.168,740232.4,13,820526.4,133,3.90E-05,266,,,,16.4518
UH110b S35 1/2,7/13-7/17/2020,6.198,4.952,7.07357,0.272,1285830.81,11,1402902.9,207,5.74E-05,415,,,,16.4518
UH111b S35 1/2,7/17-7/24/2020,7.626,6.38,9.11357,0.379,1656661.14,13,1836361.3,158,4.65E-05,315,,,,16.4518
UH112b S35 1/2,7/24-7/30/2020,6.872,5.626,8.03643,0.197,1460858.57,8,1556434.7,170,3.07E-05,339,,,,16.4518
UH112b S35 1/2,7/24-7/30/2020,5.377,4.131,5.90071,0.391,1072629.34,27,1328430.8,145,6.08E-05,289,, ,,16.4518
UH113b S35 1/2,7/30-8/7/2020,7.118,5.872,8.38786,0.236,1524741.11,32,1964658.5,141,2.42E-05,283,,,,16.4518
UH114b S35 1/2,8/7-8/14/2020,9.263,8.017,11.45214,0.366,2081765.66,25,2537700.8,226,4.65E-05,451,,,,16.4518
UH114b S35 1/2,8/7-8/14/2020,4.983,3.737,5.33786,0.366,970313.4,74,1743802.9,155,4.65E-05,310,,,,16.4518
UH115b S35 1/2,8/14-8/21/2020,6.563,5.317,7.595,0.308,1380615.87,18,1592205.2,141,3.90E-05,282,,,,16.4518
UH116b S35 1/2,8/21-8/27/2020,4.328,3.082,4.40214,0.3,800219.66,12,880021.6,92,4.50E-05,185,,,,16.4518
UH117b S35 1/2,8/27-9/8/2020,20.703,19.457,27.795,0.539,5052563.29,16,5735314.6,294,3.95E-05,589,,12.923,,16.4518
UH117b S35 1/2,8/27-9/8/2020,20.765,19.518,27.883,0.453,5068559.89,18,5845353.1,300,3.32E-05,600,,12.923,,16.4518
UH117b S35 1/2,8/27-9/8/2020,12.023,10.777,15.395,0.453,2798496.56,55,4326569,222,3.32E-05,444,,12.923,,16.4518
UH118b S35 1/2,9/8-9/11/2020,4.91,3.664,5.23357,0.384,951356.39,10,1029785.3,214,1.14E-04,428,,4.515,,16.4518
UH119b S35 1/2,9/11-9/14/2020,5.691,4.445,6.34929,0.362,1154170.46,8,1229681.7,249,1.05E-04,497,,5.654,,16.4518
UH119b S35 1/2,9/11-9/14/2020,4.67,3.424,4.89071,0.346,889031.97,32,1145535,232,9.99E-05,463,,5.654,,16.4518
UH120b S35 1/2,9/14-9/17/2020,5.353,4.107,5.86643,0.242,1066396.89,5,1109482.8,234,7.30E-05,468,,4.236,,16.4518
UH121b S35 1/2,9/17-9/21/2020,3.864,2.618,3.73929,0.201,679725.77,27,841827.3,133,4.54E-05,266,,4.275,,16.4518
UH122b S35 1/2,9/21-9/25/2020,4.245,2.999,4.28357,0.199,778665.79,25,949204.2,147,4.40E-05,294,,3.814,,
UH123b S35 1/2,9/25-9/28/2020,5.056,3.81,5.44214,0.342,989270.42,22,1177612.9,227,9.44E-05,455,,5.801,,
UH124b S35 1/2,9/28-10/2/2020,7.02,5.774,8.24786,0.408,1499291.97,14,1675139.6,245,8.54E-05,491,, ,,16.4518
UH125b S35 1/2,10/2-10/6/2020,5.286,4.04,5.77071,0.389,1048997.99,11,1144506.9,197,9.55E-05,394,,3.902,,16.4518
UH126  S35 1/2,10/6-10/9/2020,6.361,5.115,7.30643,0.339,1328159.48,11,1449085.5,270,9.02E-05,540,,4.35,,
UH126  S35 1/2,10/6-10/9/2020,5.868,4.622,6.60214,0.238,1200134.72,21,1417350.3,264,6.34E-05,528,,4.35,,
UH127b S35 1/2,10/9-10/12/2020,3.917,2.671,3.815,0.219,693489.08,6,727246.6,153,6.56E-05,305,,2.17,,16.4518
UH128b S35 1/2,10/12-10/16/2020,5.195,3.949,5.64071,0.22,1025366.65,11,1118724,171,4.81E-05,342,,2.17,,16.4518
UH129b S35 1/2,10/16-10/20/2020,4.258,3.012,4.30214,0.25,782041.7,8,833206.5,132,5.68E-05,265,, ,,16.4518
